hrap_id,hrapx,hrapy,county,max_win_pt,return_period
615_137,615,137,Victoria,0.1,1.0
616_136,616,136,Calhoun,0.08,1.0
615_136,615,136,Calhoun,0.05,1.0
617_135,617,135,Calhoun,0.07,1.0
615_135,615,135,Calhoun,0.03,1.0
617_134,617,134,Calhoun,0.06,1.0
616_134,616,134,Calhoun,0.08,1.0
615_134,615,134,Calhoun,0.02,1.0
614_136,614,136,Calhoun,0.08,1.0
613_136,613,136,Victoria,0.1,1.0
612_136,612,136,Victoria,0.08,1.0
614_135,614,135,Calhoun,0.06,1.0
612_135,612,135,Calhoun,0.06,1.0
614_134,614,134,Calhoun,0.07,1.0
613_134,613,134,Calhoun,0.05,1.0
612_134,612,134,Calhoun,0.07,1.0
611_136,611,136,Victoria,0.07,1.0
610_136,610,136,Victoria,0.1,1.0
609_136,609,136,Victoria,0.11,1.0
611_135,611,135,Victoria,0.08,1.0
609_135,609,135,Victoria,0.11,1.0
611_134,611,134,Calhoun,0.07,1.0
610_134,610,134,Victoria,0.08,1.0
609_134,609,134,Victoria,0.14,1.0
610_133,610,133,Calhoun,0.07,1.0
609_133,609,133,Victoria,0.07,1.0
608_135,608,135,Victoria,0.13,1.0
607_135,607,135,Victoria,0.1,1.0
606_135,606,135,Victoria,0.13,1.0
608_134,608,134,Victoria,0.09,1.0
606_134,606,134,Victoria,0.1,1.0
608_133,608,133,Victoria,0.05,1.0
607_133,607,133,Victoria,0.08,1.0
606_133,606,133,Victoria,0.1,1.0
605_135,605,135,Victoria,0.14,1.0
604_135,604,135,Victoria,0.4,1.0
603_135,603,135,Victoria,0.75,1.0
605_134,605,134,Victoria,0.15,1.0
603_134,603,134,Victoria,0.54,1.0
605_133,605,133,Victoria,0.11,1.0
604_133,604,133,Victoria,0.33,1.0
603_133,603,133,Victoria,0.49,1.0
603_132,603,132,Victoria,0.41,1.0
602_135,602,135,Victoria,1.05,1.0
601_135,601,135,Goliad,1.08,1.0
602_134,602,134,Goliad,0.81,1.0
601_134,601,134,Goliad,1.22,1.0
600_134,600,134,Goliad,0.92,1.0
602_133,602,133,Goliad,0.65,1.0
600_133,600,133,Goliad,0.92,1.0
602_132,602,132,Goliad,0.64,1.0
601_132,601,132,Goliad,0.59,1.0
600_132,600,132,Goliad,0.69,1.0
599_134,599,134,Goliad,0.49,1.0
598_134,598,134,Goliad,0.28,1.0
597_134,597,134,Goliad,0.32,1.0
599_133,599,133,Goliad,0.69,1.0
597_133,597,133,Goliad,0.28,1.0
599_132,599,132,Goliad,0.6,1.0
598_132,598,132,Goliad,0.26,1.0
596_134,596,134,Goliad,0.43,1.0
595_134,595,134,Goliad,0.44,1.0
594_134,594,134,Goliad,0.31,1.0
595_133,595,133,Goliad,0.42,1.0
597_132,597,132,Goliad,0.23,1.0
596_132,596,132,Goliad,0.33,1.0
